"Chinese","Pinyin","Definition"
"须","xū<br />xū","must  / to have to  / to wait <br />beard  / mustache  / feeler (of an insect etc)  / tassel "
"业","Yè<br />yè","surname Ye <br />line of business  / industry  / occupation  / job  / employment  / school studies  / enterprise  / property  / (Buddhism) karma  / deed  / to engage in  / already "
"向","Xiàng<br />xiàng<br />xiàng<br />xiàng","surname Xiang <br />towards  / to face  / to turn towards  / direction  / to support  / to side with  / shortly before  / formerly  / always  / all along <br />to tend toward  / to guide  / variant of 向 <br />variant of 向 / direction  / orientation  / to face  / to turn toward  / to  / towards  / shortly before  / formerly "
"借","jiè<br />jiè","to lend  / to borrow  / by means of  / to take (an opportunity) <br />variant of 借 "
"笔记","",""
"铅笔","",""
"铅","qiān<br />qiān","old variant of 鉛｜铅 <br />lead (chemistry) "
"清楚","",""
"黑板","",""
"笔记本","",""
"清","Qīng<br />qīng","Qing or Ch'ing dynasty of Imperial China (1644-1911)  / surname Qing <br />clear  / distinct  / quiet  / just and honest  / pure  / to settle or clear up  / to clean up or purge "
"楚","Chǔ<br />chǔ","surname Chu  / abbr. for Hubei 湖北省 and Hunan 湖南省 provinces together  / Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC) <br />distinct  / clear  / orderly  / pain  / suffering  / deciduous bush used in Chinese medicine (genus Vitex)  / punishment cane (old) "
"板","bǎn<br />bǎn<br />pàn","board  / plank  / plate  / shutter  / table tennis bat  / clappers (music)  / CL: 塊｜块 / accented beat in Chinese music  / hard  / stiff  / to stop smiling or look serious <br />see 老闆｜老板, boss <br />to catch sight of in a doorway (old) "
"体育馆","",""
"化","huā<br />huà","variant of 花 <br />to make into  / to change into  / -ization  / to ... -ize  / to transform  / abbr. for 化學｜化学 "
"算","suàn","to regard as  / to figure  / to calculate  / to compute "
"搬","bān","to move (i.e. relocate oneself)  / to move (sth relatively heavy or bulky)  / to shift  / to copy indiscriminately "
"变","biàn","to change  / to become different  / to transform  / to vary  / rebellion "
"打算","",""
"变化","",""
"机会","",""
"留学","",""
"国家","",""
"选择","",""
"选","xuǎn","to choose  / to pick  / to select  / to elect "
"择","zé","to select  / to choose  / to pick over  / to pick out  / to differentiate  / to eliminate  / also pr. [zhai2] "
"结婚","",""
"愿意","",""
"认真","",""
"结","jiē<br />jié","(of a plant) to produce (fruit or seeds)  / Taiwan pr. [jie2] <br />knot  / sturdy  / bond  / to tie  / to bind  / to check out (of a hotel) "
"愿","yuàn<br />yuàn","honest  / prudent  / variant of 願｜愿 <br />to hope  / to wish  / to desire  / hoped-for  / ready  / willing "
"婚","hūn","to marry  / marriage  / wedding  / to take a wife "
"当然","",""
"放心","",""
"害怕","",""
"当","dāng<br />dāng<br />dàng","(onom.) dong  / ding dong (bell) <br />to be  / to act as  / manage  / withstand  / when  / during  / ought  / should  / match equally  / equal  / same  / obstruct  / just at (a time or place)  / on the spot  / right  / just at <br />at or in the very same...  / suitable  / adequate  / fitting  / proper  / to replace  / to regard as  / to think  / to pawn  / (coll.) to fail (a student) "
"害","hài","to do harm to  / to cause trouble to  / harm  / evil  / calamity "
"怕","Pà<br />pà","surname Pa <br />to be afraid  / to fear  / to dread  / to be unable to endure  / perhaps "
"分手","",""
"境","jìng","border  / place  / condition  / boundary  / circumstances  / territory "
"环","Huán<br />huán","surname Huan <br />ring  / hoop  / loop  / (chain) link  / classifier for scores in archery etc  / to surround  / to encircle  / to hem in "
"层","céng","layer  / stratum  / laminated  / floor (of a building)  / storey  / classifier for layers  / repeated  / sheaf (math.) "
"方便","",""
"环境","",""
"草","cǎo<br />cǎo<br />cào","variant of 草 <br />grass  / straw  / manuscript  / draft (of a document)  / careless  / rough  / CL: 棵, 撮, 株, 根<br />variant of 肏 "
"太阳","",""
"星星","",""
"阳","yáng<br />yáng","positive (electric.)  / sun  / male principle (Taoism)  / Yang, opposite: 陰｜阴 ☯ <br />excess of yang 陽｜阳 in TCM "
"安静","",""
"楼","Lóu<br />lóu","surname Lou <br />house with more than 1 story  / storied building  / floor  / CL: 層｜层, 座, 棟｜栋"
"静","jìng","still  / calm  / quiet  / not moving "
"声音","",""
"影响","",""
"邻居","",""
"声","shēng","sound  / voice  / tone  / noise  / classifier for sounds "
"邻","lín<br />lín","neighbor  / adjacent  / close to <br />variant of 鄰｜邻 "
"响","xiǎng","echo  / sound  / noise  / to make a sound  / to sound  / to ring  / loud  / classifier for noises "
"居","Jū<br />jī<br />jū","surname Ju <br />(archaic) sentence-final particle expressing a doubting attitude <br />to reside  / to be (in a certain position)  / to store up  / to be at a standstill  / residence  / house  / restaurant  / classifier for bedrooms "
"垃圾","",""
"桶","tǒng","bucket  / (trash) can  / barrel (of oil etc)  / CL: 個｜个, 隻｜只"
"丢","diū","to lose  / to put aside  / to throw "
"脏","zàng<br />zāng","viscera  / (anatomy) organ <br />dirty  / filthy "
"垃","lā","see 垃圾 / Taiwan pr. [le4] "
"圾","jī","see 垃圾 / Taiwan pr. [se4] "
"先生","",""
"小姐","",""
"经理","",""
"同事","",""
"突然","",""
"重要","",""
"会议","",""
"突","tū","to dash  / to move forward quickly  / to bulge  / to protrude  / to break through  / to rush out  / sudden  / Taiwan pr. [tu2] "
"重","chóng<br />zhòng","to repeat  / repetition  / again  / re-  / classifier: layer <br />heavy  / serious  / to attach importance to "
"议","yì","to comment on  / to discuss  / to suggest "
"解决","",""
"办法","",""
"相信","",""
"决","jué","to decide  / to determine  / to execute (sb)  / (of a dam etc) to breach or burst  / definitely  / certainly "
"解","Xiè<br />jiě<br />jiè<br />xiè","surname Xie <br />to divide  / to break up  / to split  / to separate  / to dissolve  / to solve  / to melt  / to remove  / to untie  / to loosen  / to open  / to emancipate  / to explain  / to understand  / to know  / a solution  / a dissection <br />to transport under guard <br />acrobatic display (esp. on horseback) (old)  / variant of 懈 and 邂 (old) "
"界","jiè","boundary  / scope  / extent  / circles  / group  / kingdom (taxonomy) "
"河","hé","river  / CL: 條｜条, 道"
"世","Shì<br />shì","surname Shi <br />life  / age  / generation  / era  / world  / lifetime  / epoch  / descendant  / noble "
"黄河","",""
"动物","",""
"有名","",""
"世界","",""
"长江","",""
"江","Jiāng<br />jiāng","surname Jiang <br />river  / CL: 條｜条, 道"
"多么","",""
"熊猫","",""
"西安","",""
"啊","ā<br />á<br />ǎ<br />à<br />a","interjection of surprise  / Ah!  / Oh! <br />interjection expressing doubt or requiring answer  / Eh?  / what? <br />interjection of surprise or doubt  / Eh?  / My!  / what's up? <br />interjection or grunt of agreement  / uhm  / Ah, OK  / expression of recognition  / Oh, it's you! <br />modal particle ending sentence, showing affirmation, approval, or consent "
"熊","Xióng<br />xióng","surname Xiong <br />bear  / to scold  / to rebuke  / brilliant light  / to shine brightly "
"长城","",""
"故宫","",""
"宫","Gōng<br />gōng","surname Gong <br />palace  / temple  / castration (as corporal punishment)  / first note in pentatonic scale "
"山","Shān<br />shān","surname Shan <br />mountain  / hill  / anything that resembles a mountain  / CL: 座 / bundled straw in which silkworms spin cocoons  / gable "
"者","zhě","(after a verb or adjective) one who (is) ...  / (after a noun) person involved in ...  / -er  / -ist  / (used after a number or 後｜后 or 前 to refer to sth mentioned previously)  / (used after a term, to mark a pause before defining the term)  / (old) (used at the end of a command)  / (old) this "
"爬","pá","to crawl  / to climb  / to get up or sit up "
"或","huò","maybe  / perhaps  / might  / possibly  / or "
"自行车","",""
"或者","",""
"爬山","",""
"功夫","",""
"功","gōng","meritorious deed or service  / achievement  / result  / service  / accomplishment  / work (physics) "
"文化","",""
"历史","",""
"兴趣","",""
"感兴趣","",""
"历","lì<br />lì<br />lì<br />lì","old variant of 曆｜历 / old variant of 歷｜历 <br />calendar <br />old variant of 歷｜历 <br />to experience  / to undergo  / to pass through  / all  / each  / every  / history "
"趣","qù","interesting  / to interest "
"史","Shǐ<br />shǐ","surname Shi <br />history  / annals  / title of an official historian in ancient China "
"为了","",""
"特别","",""
"了解","",""
"麻将","",""
"特","tè","special  / unique  / distinguished  / especially  / unusual  / very "
"麻","má<br />Má<br />má","variant of 麻 / hemp <br />surname Ma <br />generic name for hemp, flax etc  / hemp or flax fiber for textile materials  / sesame  / CL: 縷｜缕 / (of materials) rough or coarse  / pocked  / pitted  / to have pins and needles or tingling  / to feel numb "
"将","jiāng<br />jiàng<br />qiāng","will  / shall  / to use  / to take  / to checkmate  / just a short while ago  / (introduces object of main verb, used in the same way as 把) <br />general  / commander-in-chief (military)  / king (chess piece)  / to command  / to lead <br />to desire  / to invite  / to request "
"顾","Gù<br />gù","surname Gu <br />to look after  / to take into consideration  / to attend to "
"死","sǐ","to die  / impassable  / uncrossable  / inflexible  / rigid  / extremely  / damned "
"闷","mēn<br />mèn","stuffy  / shut indoors  / to smother  / to cover tightly <br />bored  / depressed  / melancholy  / sealed  / airtight  / tightly closed "
"腿","tuǐ<br />tuǐ","leg  / CL: 條｜条<br />hip bone  / old variant of 腿 "
"照顾","",""
"公斤","",""
"着急","",""
"瘦","shòu","thin  / to lose weight  / (of clothing) tight  / (of meat) lean  / (of land) unproductive "
"斤","jīn","catty  / (PRC) weight equal to 500 g  / (Tw) weight equal to 600 g  / (HK, Malaysia, Singapore) slightly over 604 g "
"急","jí","urgent  / pressing  / rapid  / hurried  / worried  / to make (sb) anxious "
"咳嗽","",""
"抽烟","",""
"咳","hāi<br />ké","sound of sighing <br />cough "
"嗽","sòu","cough "
"抽","chōu","to draw out  / to pull out from in between  / to remove part of the whole  / (of certain plants) to sprout or bud  / to whip or thrash "
"烟","yān","cigarette or pipe tobacco  / CL: 根 / smoke  / mist  / vapour  / CL: 縷｜缕 / tobacco plant  / (of the eyes) to be irritated by smoke "
"际","jì","border  / edge  / boundary  / interval  / between  / inter-  / to meet  / time  / occasion  / to meet with (circumstances) "
"柜","guì<br />jǔ<br />guì","variant of 櫃｜柜 <br />Salix multinervis <br />cupboard  / cabinet  / wardrobe "
"转","zhuǎi<br />zhuǎn<br />zhuàn","see 轉文｜转文 <br />to turn  / to change direction  / to transfer  / to forward (mail) <br />to revolve  / to turn  / to circle about  / to walk about  / classifier for revolutions (per minute etc): revs, rpm  / classifier for repeated actions "
"转机","",""
"柜台","",""
"国际","",""
"换钱","",""
"银行","",""
"充电","",""
"国内","",""
"银","yín","silver  / silver-colored  / relating to money or currency "
"充","chōng","to fill  / to satisfy  / to fulfill  / to act in place of  / substitute  / sufficient  / full "
"内","nèi","inside  / inner  / internal  / within  / interior "
"充值","",""
"漫游","",""
"电话卡","",""
"值","zhí","value  / (to be) worth  / to happen to  / to be on duty "
"订房","",""
"退房","",""
"取消","",""
"导游","",""
"取","qǔ","to take  / to get  / to choose  / to fetch "
"导","dǎo","to transmit  / to lead  / to guide  / to conduct  / to direct "
"消","xiāo","to disappear  / to vanish  / to eliminate  / to spend (time)  / have to  / need "
"答","dā<br />dá","to answer  / to agree <br />reply  / answer  / return  / respond  / echo "
"句","gōu<br />jù","variant of 勾 <br />sentence  / clause  / phrase  / classifier for phrases or lines of verse "
"简","jiǎn","simple  / uncomplicated  / letter  / to choose  / to select  / bamboo strips used for writing (old) "
"简单","",""
"句子","",""
"回答","",""
"词典","",""
"应用","",""
"语法","",""
"流利","",""
"词","cí<br />cí<br />cí","old variant of 詞｜词 <br />word  / statement  / speech  / lyrics  / CL: 組｜组, 個｜个 / a form of lyric poetry, flourishing in the Song dynasty 宋朝 / CL: 首<br />writer of 詞｜词 (a kind of classical Chinese poem)  / person of literary talent "
"流","liú","to flow  / to disseminate  / to circulate or spread  / to move or drift  / to degenerate  / to banish or send into exile  / stream of water or sth resembling one  / class, rate or grade "
"典","diǎn","canon  / law  / standard work of scholarship  / literary quotation or allusion  / ceremony  / to be in charge of  / to mortgage or pawn "
"下载","",""
"多邻国","",""
"翻译","",""
"翻","fān<br />fān","to turn over  / to flip over  / to overturn  / to rummage through  / to translate  / to decode  / to double  / to climb over or into  / to cross <br />variant of 翻 "
"载","zǎi<br />zài","to record in writing  / to carry (i.e. publish in a newspaper etc)  / Taiwan pr. [zai4]  / year <br />to carry  / to convey  / to load  / to hold  / to fill up  / and  / also  / as well as  / simultaneously "
"译","yì","to translate  / to interpret "
"把","bǎ<br />bà","to hold  / to contain  / to grasp  / to take hold of  / handle  / particle marking the following noun as a direct object  / classifier for objects with handle  / classifier for small objects: handful <br />handle "
"灯","dēng","lamp  / light  / lantern  / CL: 盞｜盏"
"空调","",""
"画","huà","to draw  / picture  / painting  / CL: 幅, 張｜张 / classifier for paintings etc  / variant of 劃｜划 "
"厨房","",""
"客厅","",""
"厨","chú<br />chú","old variant of 廚｜厨 <br />kitchen "
"厅","tīng","(reception) hall  / living room  / office  / provincial government department "
"客人","",""
"打扫","",""
"干净","",""
"扫","sǎo<br />sào","to sweep <br />broom "
"净","jìng<br />jìng","variant of 淨｜净 <br />clean  / completely  / only  / net (income, exports etc)  / (Chinese opera) painted face male role "
"电梯","",""
"坏","huài","bad  / spoiled  / broken  / to break down  / (suffix) to the utmost "
"被","bèi","quilt  / by  / (indicates passive-voice clauses)  / (literary) to cover  / to meet with "
"厕所","",""
"厕","cè<br />cè<br />sì","variant of 廁｜厕 <br />restroom  / toilet  / lavatory <br />see 茅廁｜茅厕 "
"梯","tī","ladder  / stairs "
"寒","hán","cold  / poor  / to tremble "
"暑","shǔ","heat  / hot weather  / summer heat "
"复","fù<br />fù<br />fù","to go and return  / to return  / to resume  / to return to a normal or original state  / to repeat  / again  / to recover  / to restore  / to turn over  / to reply  / to answer  / to reply to a letter  / to retaliate  / to carry out <br />to repeat  / to double  / to overlap  / complex (not simple)  / compound  / composite  / double  / diplo-  / duplicate  / overlapping  / to duplicate <br />variant of 復｜复 / to reply to a letter "
"记得","",""
"复习","",""
"数学","",""
"放假","",""
"暑假","",""
"寒假","",""
"终于","",""
"结束","",""
"放松","",""
"大学","",""
"终","zhōng","end  / finish "
"于","Yú<br />yú<br />yú","surname Yu <br />to go  / to take  / sentence-final interrogative particle  / variant of 於｜于 <br />in  / at  / to  / from  / by  / than  / out of "
"束","Shù<br />shù","surname Shu <br />to bind  / bunch  / bundle  / classifier for bunches, bundles, beams of light etc  / to control "
"成绩","",""
"担心","",""
"专业","",""
"担","dān<br />dàn","to undertake  / to carry  / to shoulder  / to take responsibility <br />picul (100 catties, 50 kg)  / two buckets full  / carrying pole and its load  / classifier for loads carried on a shoulder pole "
"专","zhuān<br />zhuān","for a particular person, occasion, purpose  / focused on one thing  / special  / expert  / particular (to sth)  / concentrated  / specialized <br />variant of 專｜专 "
"绩","jì<br />jì","variant of 績｜绩 / merit  / accomplishment <br />to spin (hemp etc)  / merit  / accomplishment  / Taiwan pr. [ji1] "
"景","Jǐng<br />jǐng","surname Jing <br />bright  / circumstance  / scenery "
"街","jiē","street  / CL: 條｜条"
"地图","",""
"街道","",""
"红绿灯","",""
"风景","",""
"司机","",""
"接","jiē","to receive  / to answer (the phone)  / to meet or welcome sb  / to connect  / to catch  / to join  / to extend  / to take one's turn on duty  / to take over for sb "
"免费","",""
"打车","",""
"观光","",""
"免","miǎn<br />wèn","to excuse sb  / to exempt  / to remove or dismiss from office  / to avoid  / to avert  / to escape  / to be prohibited <br />old variant of 絻 "
"观","Guàn<br />guān<br />guàn","surname Guan <br />to look at  / to watch  / to observe  / to behold  / to advise  / concept  / point of view  / outlook <br />Taoist monastery  / palace gate watchtower  / platform "
"光","guāng","light  / ray  / CL: 道 / bright  / only  / merely  / to use up "
"小心","",""
"时差","",""
"马路","",""
"参观","",""
"博物馆","",""
"博","bó<br />bó","extensive  / ample  / rich  / obtain  / aim  / to win  / to get  / plentiful  / to gamble <br />old variant of 博 "
"安排","",""
"活动","",""
"表演","",""
"海边","",""
"活","huó","to live  / alive  / living  / work  / workmanship "
"演","yǎn","to develop  / to evolve  / to practice  / to perform  / to play  / to act "
"邮","yóu","post (office)  / mail "
"刚才","",""
"电子邮件","",""
"主要","",""
"短信","",""
"关于","",""
"主","zhǔ","owner  / master  / host  / individual or party concerned  / God  / Lord  / main  / to indicate or signify  / trump card (in card games) "
"登录","",""
"密码","",""
"信号","",""
"登","dēng","to scale (a height)  / to ascend  / to mount  / to publish or record  / to enter (e.g. in a register)  / to press down with the foot  / to step or tread on  / to put on (shoes or trousers) (dialect)  / to be gathered and taken to the threshing ground (old) "
"密","Mì<br />mì","surname Mi  / name of an ancient state <br />secret  / confidential  / close  / thick  / dense "
"录","Lù<br />lù","surname Lu <br />diary  / record  / to hit  / to copy "
"段","Duàn<br />duàn","surname Duan <br />paragraph  / section  / segment  / stage (of a process)  / classifier for stories, periods of time, lengths of thread etc "
"其实","",""
"过去","",""
"谈","Tán<br />tán","surname Tan <br />to speak  / to talk  / to converse  / to chat  / to discuss "
"实","shí","real  / true  / honest  / really  / solid  / fruit  / seed  / definitely "
"同意","",""
"决定","",""
"根据","",""
"升职","",""
"根","gēn","root  / basis  / classifier for long slender objects, e.g. cigarettes, guitar strings  / CL: 條｜条 / radical (chemistry) "
"据","jù<br />jū<br />jù<br />jù","variant of 據｜据 <br />see 拮据 <br />variant of 據｜据 <br />according to  / to act in accordance with  / to depend on  / to seize  / to occupy "
"升","shēng<br />shēng<br />shēng","to ascend  / to rise to the rank of  / to promote  / to hoist  / liter  / measure for dry grain equal to one-tenth dou 斗 <br />variant of 升 / to ascend  / to rise in rank <br />variant of 升 "
"职","zhí","office  / duty "
"满意","",""
"认为","",""
"出差","",""
"表现","",""
"满","Mǎn<br />mǎn","Manchu ethnic group <br />to fill  / full  / filled  / packed  / fully  / completely  / quite  / to reach the limit  / to satisfy  / satisfied  / contented "
"老板","",""
"麻烦","",""
"开会","",""
"面试","",""
"烦","fán","to feel vexed  / to bother  / to trouble  / superfluous and confusing  / edgy "
"饼","bǐng","round flat cake  / cookie  / cake  / pastry  / CL: 張｜张"
"月亮","",""
"月饼","",""
"中秋节","",""
"圆","yuán","circle  / round  / circular  / spherical  / (of the moon) full  / unit of Chinese currency (Yuan)  / tactful  / to justify "
"恭喜","",""
"红包","",""
"汤圆","",""
"聚会","",""
"发财","",""
"恭","gōng","respectful "
"聚","jù","to congregate  / to assemble  / to mass  / to gather together  / to amass  / to polymerize "
"财","cái","money  / wealth  / riches  / property  / valuables "
"端午节","",""
"粽子","",""
"划","huá<br />huá<br />huà","to row  / to paddle  / profitable  / worth (the effort)  / it pays (to do sth) <br />to cut  / to slash  / to scratch (cut into the surface of sth)  / to strike (a match) <br />to delimit  / to transfer  / to assign  / to plan  / to draw (a line)  / stroke of a Chinese character "
"龙舟","",""
"端","duān<br />duān","end  / extremity  / item  / port  / to hold sth level with both hands  / to carry  / regular <br />old variant of 端 / start  / origin "
"粽","zòng<br />zòng","rice dumplings wrapped in leaves <br />variant of 粽 "
"龙","Lóng<br />lóng","surname Long <br />dragon  / CL: 條｜条 / imperial "
"舟","zhōu","boat "
"珠","zhū","bead  / pearl  / CL: 粒, 顆｜颗"
"汤","Tāng<br />shāng<br />tāng","surname Tang <br />rushing current <br />soup  / hot or boiling water  / decoction of medicinal herbs  / water in which sth has been boiled "
"酸","suān","sour  / tart  / sick at heart  / grieved  / sore  / aching  / pedantic  / impractical  / an acid "
"珍","zhēn<br />zhēn","precious thing  / treasure  / culinary delicacy  / rare  / valuable  / to value highly <br />variant of 珍 "
"珍珠奶茶","",""
"酸辣汤","",""
"北京烤鸭","",""
"春卷","",""
"豆花","",""
"烤","kǎo","to roast  / to bake  / to broil "
"鸭","yā","duck  / CL: 隻｜只 / (slang) male prostitute "
"卷","juǎn<br />juàn<br />juǎn","to roll up  / roll  / classifier for small rolled things (wad of paper money, movie reel etc) <br />scroll  / book  / volume  / chapter  / examination paper  / classifier for books, paintings: volume, scroll <br />to roll (up)  / to sweep up  / to carry on  / roll "
"宫保鸡丁","",""
"卤肉饭","",""
"馒头","",""
"保","Bǎo<br />bǎo","Bulgaria  / Bulgarian  / abbr. for 保加利亞｜保加利亚 <br />to defend  / to protect  / to keep  / to guarantee  / to ensure "
"卤","lǔ<br />lǔ","to stew in soy sauce and spices <br />alkaline soil  / salt  / brine  / halogen (chemistry)  / crass  / stupid "
"馒","mán","steamed bread "
"丁","Dīng<br />dīng","surname Ding <br />fourth of the ten Heavenly Stems 十天干 / fourth in order  / letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc  / ancient Chinese compass point: 195°  / butyl  / cubes (of food) "
"豪","háo","grand  / heroic "
"宅","zhái","residence  / (coll.) to stay in at home  / to hang around at home "
"土","Tǔ<br />tǔ","Tu (ethnic group)  / surname Tu <br />earth  / dust  / clay  / local  / indigenous  / crude opium  / unsophisticated  / one of the eight ancient musical instruments 八音 "
"土豪","",""
"吃货","",""
"宅男","",""
"菜鸟","",""
"美图","",""
"萌","méng","to sprout  / to bud  / to have a strong affection for (slang)  / adorable (loanword from Japanese 萌え moe, slang describing affection for a cute character) "
"自拍","",""
"囧","jiǒng","variant of 冏 / used as emoticon (""smiley"") meaning embarrassed, sad :-(, depressed or frustrated "
"美眉","",""
"高富帅","",""
"眉","méi","eyebrow  / upper margin "
"富","Fù<br />fù","surname Fu <br />rich  / abundant  / wealthy "
"微博","",""
"微信","",""
"朋友圈","",""
"微","Wēi<br />wēi<br />wēi","surname Wei  / ancient Chinese state near present day Chongqing  / Taiwan pr. [Wei2] <br />tiny  / miniature  / slightly  / profound  / abtruse  / to decline  / one millionth part of  / micro-  / Taiwan pr. [wei2] <br />calculus  / differentiation and integration  / calculus of infinitesimals 微 and integrals 積｜积 "
"圈","juān<br />juàn<br />quān","to confine  / to lock up  / to pen in <br />pen (pig)  / a fold <br />circle  / ring  / loop  / classifier for loops, orbits, laps of race etc  / CL: 個｜个 / to surround  / to circle "
"关注","",""
"赞","zàn<br />zàn<br />zàn<br />zàn","variant of 讚｜赞 <br />variant of 贊｜赞 / to praise <br />variant of 贊｜赞 <br />to patronize  / to support  / to praise  / (Internet slang) to like (an online post on Facebook etc) "
"转发","",""
"好友","",""
"粉丝","",""
"分享","",""
"评论","",""
"粉","fěn","powder  / cosmetic face powder  / food prepared from starch  / noodles or pasta made from any kind of flour  / whitewash  / white  / pink "
"丝","sī","silk  / thread  / trace  / (cuisine) shreds or julienne strips  / CL: 條｜条 / classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc "
"享","xiǎng<br />xiǎng","to enjoy  / to benefit  / to have the use of <br />old variant of 享 "
"评","píng","to discuss  / to comment  / to criticize  / to judge  / to choose (by public appraisal) "
"论","Lún<br />lùn","abbr. for 論語｜论语, The Analects (of Confucius) <br />opinion  / view  / theory  / doctrine  / to discuss  / to talk about  / to regard  / to consider  / per  / by the (kilometer, hour etc) "
"销","xiāo","to melt (metal)  / to cancel or annul  / to sell  / to spend  / to fasten with a bolt  / bolt or pin "
"收据","",""
"报销","",""
"费用","",""
"尽快","",""
"回复","",""
"报告","",""
"协议","",""
"尽","jǐn<br />jìn","to the greatest extent  / (when used before a noun of location) furthest or extreme  / to be within the limits of  / to give priority to <br />to use up  / to exhaust  / to end  / to finish  / to the utmost  / exhausted  / finished  / to the limit (of sth)  / all  / entirely "
"协","xié","to cooperate  / to harmonize  / to help  / to assist  / to join "
"合同","",""
"项目","",""
"签名","",""
"汇报","",""
"合","gě<br />hé<br />hé","100 ml  / one-tenth of a peck  / measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗 <br />to close  / to join  / to fit  / to be equal to  / whole  / together  / round (in battle)  / conjunction (astronomy)  / 1st note of pentatonic scale  / old variant of 盒 <br />variant of 合 "
"项","Xiàng<br />xiàng","surname Xiang <br />back of neck  / item  / thing  / term (in a mathematical formula)  / sum (of money)  / classifier for principles, items, clauses, tasks, research projects etc "
"汇","huì<br />huì<br />huì","to remit  / to converge (of rivers)  / to exchange <br />class  / collection <br />variant of 匯｜汇 "
"广告","",""
"预算","",""
"资本","",""
"低","dī","low  / beneath  / to lower (one's head)  / to let droop  / to hang down  / to incline "
"广","Guǎng<br />guǎng","surname Guang <br />wide  / numerous  / to spread "
"资","zī","resources  / capital  / to provide  / to supply  / to support  / money  / expense "
"险","xiǎn","danger  / dangerous  / rugged "
"投","tóu","to cast  / to send  / to throw oneself (into the river etc)  / to seek refuge  / to place oneself into the hands of "
"保险","",""
"风险","",""
"投资","",""
"律师","",""
"版权","",""
"咨询","",""
"律","Lǜ<br />lǜ","surname Lü <br />law "
"版","bǎn","a register  / block of printing  / edition  / version  / page "
"咨","zī","to consult "
"权","Quán<br />quán","surname Quan <br />authority  / power  / right  / (literary) to weigh  / expedient  / temporary "
"询","xún","to ask about  / to inquire about "
"保持","",""
"联系","",""
"联","lián","to ally  / to unite  / to join  / (poetry) antithetical couplet "
"持","chí","to hold  / to grasp  / to support  / to maintain  / to persevere  / to manage  / to run (i.e. administer)  / to control "
"合作","",""
"愉快","",""
"辛苦","",""
"感谢","",""
"愉","yú","pleased "
"辛","Xīn<br />xīn","surname Xin <br />(of taste) hot or pungent  / hard  / laborious  / suffering  / eighth in order  / eighth of the ten Heavenly Stems 十天干 / letter ""H"" or roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc  / ancient Chinese compass point: 285°  / octa "
"伤","shāng","to injure  / injury  / wound "
"受","shòu","to receive  / to accept  / to suffer  / subjected to  / to bear  / to stand  / pleasant  / (passive marker) "
"救","jiù<br />jiù","variant of 救 <br />to save  / to assist  / to rescue "
"警","jǐng","to alert  / to warn  / police "
"报警","",""
"救护车","",""
"受伤","",""
"救命","",""
"发生","",""
"意外","",""
"严重","",""
"严","Yán<br />yán","surname Yan <br />tight (closely sealed)  / stern  / strict  / rigorous  / severe  / father "
"命","mìng","life  / fate  / order or command  / to assign a name, title etc "
"偷","tōu","to steal  / to pilfer  / to snatch  / thief  / stealthily "
"警察","",""
"察","Chá<br />chá<br />chá","short name for Chahar Province 察哈爾｜察哈尔 <br />to examine  / to inquire  / to observe  / to inspect  / to look into  / obvious  / clearly evident <br />variant of 察 "
"奖","jiǎng","prize  / award  / encouragement  / CL: 個｜个"
"工资","",""
"加班","",""
"奖金","",""
"生意","",""
"压力","",""
"责任","",""
"商量","",""
"意见","",""
"压","yā<br />yà","to press  / to push down  / to keep under (control)  / pressure <br />see 壓根兒｜压根儿 "
"责","zé","duty  / responsibility  / to reproach  / to blame "
"任","Rén<br />rèn","surname Ren  / Ren County 任縣｜任县 in Hebei <br />to assign  / to appoint  / to take up a post  / office  / responsibility  / to let  / to allow  / to give free rein to  / no matter (how, what etc)  / classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友) "
"误会","",""
"抱歉","",""
"原谅","",""
"误","wù","mistake  / error  / to miss  / to harm  / to delay  / to neglect  / mistakenly "
"抱","bào","to hold  / to carry (in one's arms)  / to hug  / to embrace  / to surround  / to cherish "
"原","Yuán<br />yuán","Hara (Japanese surname) <br />former  / original  / primary  / raw  / level  / cause  / source "
"歉","qiàn","to apologize  / to regret  / deficient "
"谅","liàng","to show understanding  / to excuse  / to presume  / to expect "
"干燥","",""
"暖和","",""
"凉快","",""
"燥","zào","dry  / parched  / impatient "
"暖","nuǎn<br />nuǎn<br />nuǎn<br />nuǎn","old variant of 暖 <br />warm  / to warm <br />variant of 暖 <br />variant of 暖, warm "
"凉","Liáng<br />liáng<br />liàng","the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼｜前凉 (314-376), Later Liang 後涼｜后凉 (386-403), Northern Liang 北涼｜北凉 (398-439), Southern Liang 南涼｜南凉 (397-414), Western Liang 西涼｜西凉 (400-421) <br />cool  / cold <br />to let sth cool down "
"温度","",""
"大约","",""
"温","Wēn<br />wēn","surname Wen <br />warm  / lukewarm  / temperature  / to warm up  / mild  / soft  / tender  / to review (a lesson etc)  / fever (TCM)  / old variant of 瘟 "
"鹰","yīng","eagle  / falcon  / hawk "
